facet_id,facet_name,category,subcategory,description,inferability,evidence_type
1,Risktaking,Personality,Sensation/Adventure,Indicates tendency to seek novel or risky experiences and take actions with potential negative consequences.,medium,behavioral
2,Naivety,General,,Measures indications or behaviors related to Naivety.,medium,behavioral
3,Acidity,General,,Measures indications or behaviors related to Acidity.,medium,behavioral
4,Democratic Leadership,Leadership,Styles,"Indicates leadership behaviors such as delegation, decision-making, and influence in group settings.",medium,behavioral
5,Common-sense,General,,Measures indications or behaviors related to Common-sense.,medium,behavioral
6,Hesitation,General,,Measures indications or behaviors related to Hesitation.,medium,behavioral
7,Discontentment,General,,Measures indications or behaviors related to Discontentment.,medium,behavioral
8,Overprotectiveness,General,,Measures indications or behaviors related to Overprotectiveness.,medium,behavioral
9,Merriness,General,,Measures indications or behaviors related to Merriness.,medium,behavioral
10,Emotionalism,General,,Measures indications or behaviors related to Emotionalism.,medium,behavioral
11,Self-improvement,General,,Measures indications or behaviors related to Self-improvement.,medium,behavioral
12,Statistical Reasoning,General,,Measures indications or behaviors related to Statistical Reasoning.,medium,behavioral
13,Assertiveness and control in relationships,General,,Measures indications or behaviors related to Assertiveness and control in relationships.,medium,behavioral
14,Cunningness,General,,Measures indications or behaviors related to Cunningness.,medium,behavioral
15,Adventure-Seeking Behavior,Personality,Sensation/Adventure,Indicates tendency to seek novel or risky experiences and take actions with potential negative consequences.,medium,behavioral
16,Compassion Fatigue,Personality,Prosocial,"Indicates prosocial tendencies such as empathy, concern for others, and social awareness.",high,behavioral
17,Moroseness,General,,Measures indications or behaviors related to Moroseness.,medium,behavioral
18,Specialist,General,,Measures indications or behaviors related to Specialist.,medium,behavioral
19,Aloofness,General,,Measures indications or behaviors related to Aloofness.,medium,behavioral
20,Genuine,General,,Measures indications or behaviors related to Genuine.,medium,behavioral
21,Determinedness,General,,Measures indications or behaviors related to Determinedness.,medium,behavioral
22,HonestyHumility,General,,Measures indications or behaviors related to HonestyHumility.,medium,behavioral
23,Relationship Building Themes,General,,Measures indications or behaviors related to Relationship Building Themes.,medium,behavioral
24,Pure Challenge,General,,Measures indications or behaviors related to Pure Challenge.,medium,behavioral
25,Numerical Reasoning Subcomponents,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
26,Openness,General,,Measures indications or behaviors related to Openness.,medium,behavioral
27,SelfEsteem,General,,Measures indications or behaviors related to SelfEsteem.,medium,behavioral
28,Comparing alphanumeric data,General,,Measures indications or behaviors related to Comparing alphanumeric data.,medium,behavioral
29,Big-heartedness,General,,Measures indications or behaviors related to Big-heartedness.,medium,behavioral
30,Compulsive activities,General,,Measures indications or behaviors related to Compulsive activities.,medium,behavioral
31,Disrespect,General,,Measures indications or behaviors related to Disrespect.,medium,behavioral
32,FSH level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
33,Self Perspective,General,,Measures indications or behaviors related to Self Perspective.,medium,behavioral
34,Desperation,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
35,Affiliation Motivation,General,,Measures indications or behaviors related to Affiliation Motivation.,medium,behavioral
36,Anatomy knowledge,General,,Measures indications or behaviors related to Anatomy knowledge.,medium,behavioral
37,Passive-Aggressive,General,,Measures indications or behaviors related to Passive-Aggressive.,medium,behavioral
38,Presence of Spiritual Pain,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
39,Role of Spirituality in Community Involvement,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
40,Structure,General,,Measures indications or behaviors related to Structure.,medium,behavioral
41,Eco-tourism trips,General,,Measures indications or behaviors related to Eco-tourism trips.,medium,behavioral
42,Chivalrousness,General,,Measures indications or behaviors related to Chivalrousness.,medium,behavioral
43,Pilgrimage participation count,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
44,Mindfulness facet: Observing,General,,Measures indications or behaviors related to Mindfulness facet: Observing.,medium,behavioral
45,Submissiveness,General,,Measures indications or behaviors related to Submissiveness.,medium,behavioral
46,Training-cycle length,General,,Measures indications or behaviors related to Training-cycle length.,medium,behavioral
47,Sensitiveness,General,,Measures indications or behaviors related to Sensitiveness.,medium,behavioral
48,Negative Affect Frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
49,Innovation and Creativity Components,General,,Measures indications or behaviors related to Innovation and Creativity Components.,medium,behavioral
50,Achievement Motivation,General,,Measures indications or behaviors related to Achievement Motivation.,medium,behavioral
51,Feedback-giving frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
52,Dance-cardio sessions,General,,Measures indications or behaviors related to Dance-cardio sessions.,medium,behavioral
53,Enthusiasm,General,,Measures indications or behaviors related to Enthusiasm.,medium,behavioral
54,Psychological construct: Social Desirability tendency,General,,Measures indications or behaviors related to Psychological construct: Social Desirability tendency.,medium,behavioral
55,Inattentiveness,General,,Measures indications or behaviors related to Inattentiveness.,medium,behavioral
56,Unassertiveness,General,,Measures indications or behaviors related to Unassertiveness.,medium,behavioral
57,Decision-making decisiveness,General,,Measures indications or behaviors related to Decision-making decisiveness.,medium,behavioral
58,Sense-of-coherence score,General,,Measures indications or behaviors related to Sense-of-coherence score.,medium,behavioral
59,Justice-mindedness,General,,Measures indications or behaviors related to Justice-mindedness.,medium,behavioral
60,Subscription count,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
61,Depression Symptoms,Mental Health,Mood,"Measures evidence of low mood, sadness, hopelessness, reduced motivation, and loss of interest related to Depression Symptoms.",high,behavioral
62,Spatial perception,General,,Measures indications or behaviors related to Spatial perception.,medium,behavioral
63,Brevity,General,,Measures indications or behaviors related to Brevity.,medium,behavioral
64,Orderliness,General,,Measures indications or behaviors related to Orderliness.,medium,behavioral
65,Multiculturalism,General,,Measures indications or behaviors related to Multiculturalism.,medium,behavioral
66,Creative risk-taking tendency,Personality,Sensation/Adventure,Indicates tendency to seek novel or risky experiences and take actions with potential negative consequences.,medium,behavioral
67,Inefficiency,General,,Measures indications or behaviors related to Inefficiency.,medium,behavioral
68,Network basics,General,,Measures indications or behaviors related to Network basics.,medium,behavioral
69,Alphabetical filing skills,General,,Measures indications or behaviors related to Alphabetical filing skills.,medium,behavioral
70,Work Styles,General,,Measures indications or behaviors related to Work Styles.,medium,behavioral
71,Character strength: Perseverance,General,,Measures indications or behaviors related to Character strength: Perseverance.,medium,behavioral
72,Competition,General,,Measures indications or behaviors related to Competition.,medium,behavioral
73,Logical Sequence Identification,General,,Measures indications or behaviors related to Logical Sequence Identification.,medium,behavioral
74,Sustainable-transport usage,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
75,Hardworking,General,,Measures indications or behaviors related to Hardworking.,medium,behavioral
76,Emotional-intelligence measure: Impulsiveness,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
77,Dishonesty,General,,Measures indications or behaviors related to Dishonesty.,medium,behavioral
78,Preferred epistemology,General,,Measures indications or behaviors related to Preferred epistemology.,medium,behavioral
79,Memory for Sounds,General,,Measures indications or behaviors related to Memory for Sounds.,medium,behavioral
80,Sportsmanship rating,General,,Measures indications or behaviors related to Sportsmanship rating.,medium,behavioral
81,Immaturity,General,,Measures indications or behaviors related to Immaturity.,medium,behavioral
82,Health-literacy level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
83,Estimating Calculations,General,,Measures indications or behaviors related to Estimating Calculations.,medium,behavioral
84,Depression: Feelings of sadness and hopelessness,Mental Health,Mood,"Measures evidence of low mood, sadness, hopelessness, reduced motivation, and loss of interest related to Depression: Feelings of sadness and hopelessness.",high,behavioral
85,Synthesis of information,General,,Measures indications or behaviors related to Synthesis of information.,medium,behavioral
86,Leadership Potential,Leadership,Styles,"Indicates leadership behaviors such as delegation, decision-making, and influence in group settings.",medium,behavioral
87,Ethical standards,General,,Measures indications or behaviors related to Ethical standards.,medium,behavioral
88,High-spiritedness,General,,Measures indications or behaviors related to High-spiritedness.,medium,behavioral
89,Critical reasoning,General,,Measures indications or behaviors related to Critical reasoning.,medium,behavioral
90,Sleep-disorder diagnosis,General,,Measures indications or behaviors related to Sleep-disorder diagnosis.,medium,behavioral
91,Listening Skills Subcomponents,General,,Measures indications or behaviors related to Listening Skills Subcomponents.,medium,behavioral
92,Collaboration,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
93,Precision of Movements,General,,Measures indications or behaviors related to Precision of Movements.,medium,behavioral
94,Social Boldness,General,,Measures indications or behaviors related to Social Boldness.,medium,behavioral
95,Auditory memory,General,,Measures indications or behaviors related to Auditory memory.,medium,behavioral
96,Psychomotor Ability Subcomponents,General,,Measures indications or behaviors related to Psychomotor Ability Subcomponents.,medium,behavioral
97,Organized lifestyle,General,,Measures indications or behaviors related to Organized lifestyle.,medium,behavioral
98,Skill-endorsements count,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
99,Mysteriousness,General,,Measures indications or behaviors related to Mysteriousness.,medium,behavioral
100,Cultural Identity,General,,Measures indications or behaviors related to Cultural Identity.,medium,behavioral
101,Intrinsic Motivation,General,,Measures indications or behaviors related to Intrinsic Motivation.,medium,behavioral
102,Impartial-mindedness,General,,Measures indications or behaviors related to Impartial-mindedness.,medium,behavioral
103,Burnout Symptoms,Mental Health,Work-related,"Measures chronic exhaustion, cynicism, and reduced professional efficacy (burnout symptoms).",high,behavioral
104,Holiness,General,,Measures indications or behaviors related to Holiness.,medium,behavioral
105,Selfcontrol,General,,Measures indications or behaviors related to Selfcontrol.,medium,behavioral
106,SelfDirectedness,General,,Measures indications or behaviors related to SelfDirectedness.,medium,behavioral
107,Encouraging participation,General,,Measures indications or behaviors related to Encouraging participation.,medium,behavioral
108,Impracticalness,General,,Measures indications or behaviors related to Impracticalness.,medium,behavioral
109,Meeting Deadlines,General,,Measures indications or behaviors related to Meeting Deadlines.,medium,behavioral
110,Data Analysis,General,,Measures indications or behaviors related to Data Analysis.,medium,behavioral
111,Social Interaction Skills,General,,Measures indications or behaviors related to Social Interaction Skills.,medium,behavioral
112,Psychoticism,General,,Measures indications or behaviors related to Psychoticism.,medium,behavioral
113,Ethical leadership rating,Leadership,Styles,"Indicates leadership behaviors such as delegation, decision-making, and influence in group settings.",medium,behavioral
114,Slothfulness,General,,Measures indications or behaviors related to Slothfulness.,medium,behavioral
115,Happiness,General,,Measures indications or behaviors related to Happiness.,medium,behavioral
116,Contentment Levels,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
117,Neuroticism,General,,Measures indications or behaviors related to Neuroticism.,medium,behavioral
118,Desire for excellence,General,,Measures indications or behaviors related to Desire for excellence.,medium,behavioral
119,Perceiving,General,,Measures indications or behaviors related to Perceiving.,medium,behavioral
120,Liberalism,General,,Measures indications or behaviors related to Liberalism.,medium,behavioral
121,Inversion comfort level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
122,Affection,General,,Measures indications or behaviors related to Affection.,medium,behavioral
123,Numeric Filing Skills,General,,Measures indications or behaviors related to Numeric Filing Skills.,medium,behavioral
124,Martyrdom,General,,Measures indications or behaviors related to Martyrdom.,medium,behavioral
125,Parathyroid-hormone level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
126,Seeking approval,General,,Measures indications or behaviors related to Seeking approval.,medium,behavioral
127,Judging (J),General,,Measures indications or behaviors related to Judging (J).,medium,behavioral
128,Big Five facet Openness – Artistic Interests,General,,Measures indications or behaviors related to Big Five facet Openness – Artistic Interests.,medium,behavioral
129,Psychological construct: Operant-Learning rate,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
130,Psychological construct: Need for Achievement level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
131,Cantankerousness,General,,Measures indications or behaviors related to Cantankerousness.,medium,behavioral
132,Material properties knowledge,General,,Measures indications or behaviors related to Material properties knowledge.,medium,behavioral
133,Hostility,General,,Measures indications or behaviors related to Hostility.,medium,behavioral
134,Independence,General,,Measures indications or behaviors related to Independence.,medium,behavioral
135,Sufi practice: Sufi retreat attendance count,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
136,Chromatin-accessibility score,General,,Measures indications or behaviors related to Chromatin-accessibility score.,medium,behavioral
137,Spiritual virtue: Humility practice index,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
138,I Ching hexagram 36 resonance level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
139,Well-being component: Engagement,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
140,Need for social interaction,General,,Measures indications or behaviors related to Need for social interaction.,medium,behavioral
141,Peer-collaboration hours,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
142,Arts and Humanities,General,,Measures indications or behaviors related to Arts and Humanities.,medium,behavioral
143,Religious practice: Quran khatam cycles per year,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
144,Bahá’í spiritual metric: Ridván festival participation,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
145,Compassion,Personality,Prosocial,"Indicates prosocial tendencies such as empathy, concern for others, and social awareness.",high,behavioral
146,Information Retention,General,,Measures indications or behaviors related to Information Retention.,medium,behavioral
147,Eye-contact duration,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
148,Self-righteousness,General,,Measures indications or behaviors related to Self-righteousness.,medium,behavioral
149,General Mood and Attitude,Mental Health,Mood,"Measures evidence of low mood, sadness, hopelessness, reduced motivation, and loss of interest related to General Mood and Attitude.",high,behavioral
150,Serotonin transporter availability,General,,Measures indications or behaviors related to Serotonin transporter availability.,medium,behavioral
151,Contribution to Group Goals,General,,Measures indications or behaviors related to Contribution to Group Goals.,medium,behavioral
152,Dignity,General,,Measures indications or behaviors related to Dignity.,medium,behavioral
153,HEXACO Personality Inventory Facets,General,,Measures indications or behaviors related to HEXACO Personality Inventory Facets.,medium,behavioral
154,Evaluating Solutions,General,,Measures indications or behaviors related to Evaluating Solutions.,medium,behavioral
155,Input,General,,Measures indications or behaviors related to Input.,medium,behavioral
156,Discreteness,General,,Measures indications or behaviors related to Discreteness.,medium,behavioral
157,Energy-healing practice: Reiki sessions / year,General,,Measures indications or behaviors related to Energy-healing practice: Reiki sessions / year.,medium,behavioral
158,Astrology: Rising sign is Scorpio,General,,Measures indications or behaviors related to Astrology: Rising sign is Scorpio.,medium,behavioral
159,Character strength: Social Intelligence,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
160,Bravery,General,,Measures indications or behaviors related to Bravery.,medium,behavioral
161,Childhood Experiences,General,,Measures indications or behaviors related to Childhood Experiences.,medium,behavioral
162,Data-sharing consent level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
163,Vision-check frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
164,Physical-violence exposure,General,,Measures indications or behaviors related to Physical-violence exposure.,medium,behavioral
165,Macronutrient ratio: fat,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
166,Cooking and Culinary Arts,General,,Measures indications or behaviors related to Cooking and Culinary Arts.,medium,behavioral
167,Language use,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
168,Dance-style mastery diversity,General,,Measures indications or behaviors related to Dance-style mastery diversity.,medium,behavioral
169,Satya Adherence,General,,Measures indications or behaviors related to Satya Adherence.,medium,behavioral
170,Ethnocentrism,General,,Measures indications or behaviors related to Ethnocentrism.,medium,behavioral
171,Emotional Boundaries,General,,Measures indications or behaviors related to Emotional Boundaries.,medium,behavioral
172,Creativity in solutions,General,,Measures indications or behaviors related to Creativity in solutions.,medium,behavioral
173,Psychological construct: Hope scale,General,,Measures indications or behaviors related to Psychological construct: Hope scale.,medium,behavioral
174,Practice frequency: Walking meditation,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
175,Depression (DEP),Mental Health,Mood,"Measures evidence of low mood, sadness, hopelessness, reduced motivation, and loss of interest related to Depression (DEP).",high,behavioral
176,Understanding Mathematical Concepts,General,,Measures indications or behaviors related to Understanding Mathematical Concepts.,medium,behavioral
177,Hypomania (Ma),General,,Measures indications or behaviors related to Hypomania (Ma).,medium,behavioral
178,Goal-Directed Behavior,General,,Measures indications or behaviors related to Goal-Directed Behavior.,medium,behavioral
179,Depth of Emotional Connections,General,,Measures indications or behaviors related to Depth of Emotional Connections.,medium,behavioral
180,Binding foundations index,General,,Measures indications or behaviors related to Binding foundations index.,medium,behavioral
181,Ego Dissolution Frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
182,Activator: Turning thoughts into action,General,,Measures indications or behaviors related to Activator: Turning thoughts into action.,medium,behavioral
183,Gnostic spiritual metric: Archon meditation frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
184,Exemplariness,General,,Measures indications or behaviors related to Exemplariness.,medium,behavioral
185,Moral and Ethical Parameters,General,,Measures indications or behaviors related to Moral and Ethical Parameters.,medium,behavioral
186,Submission,General,,Measures indications or behaviors related to Submission.,medium,behavioral
187,Frankness,General,,Measures indications or behaviors related to Frankness.,medium,behavioral
188,Psychological construct: Psychological Safety climate,General,,Measures indications or behaviors related to Psychological construct: Psychological Safety climate.,medium,behavioral
189,Psychological construct: Self-Compassion total,Personality,Prosocial,"Indicates prosocial tendencies such as empathy, concern for others, and social awareness.",high,behavioral
190,Psychological construct: Executive-Function composite,General,,Measures indications or behaviors related to Psychological construct: Executive-Function composite.,medium,behavioral
191,Rebelliousness,General,,Measures indications or behaviors related to Rebelliousness.,medium,behavioral
192,Volunteer Work,General,,Measures indications or behaviors related to Volunteer Work.,medium,behavioral
193,Intellect,General,,Measures indications or behaviors related to Intellect.,medium,behavioral
194,Use of Mathematical Formulas,General,,Measures indications or behaviors related to Use of Mathematical Formulas.,medium,behavioral
195,Coarseness,General,,Measures indications or behaviors related to Coarseness.,medium,behavioral
196,Behavioral Tendencies and Subcomponents,General,,Measures indications or behaviors related to Behavioral Tendencies and Subcomponents.,medium,behavioral
197,Sensitivity,General,,Measures indications or behaviors related to Sensitivity.,medium,behavioral
198,Divided Attention Ability,General,,Measures indications or behaviors related to Divided Attention Ability.,medium,behavioral
199,Psychological construct: Acculturative Stress score,General,,Measures indications or behaviors related to Psychological construct: Acculturative Stress score.,medium,behavioral
200,Dauntlessness,General,,Measures indications or behaviors related to Dauntlessness.,medium,behavioral
201,Concreteness,General,,Measures indications or behaviors related to Concreteness.,medium,behavioral
202,Hysteria (Hy),General,,Measures indications or behaviors related to Hysteria (Hy).,medium,behavioral
203,Jewish spiritual metric: Sukkot lulav-shaking days,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
204,Sentence Structure,General,,Measures indications or behaviors related to Sentence Structure.,medium,behavioral
